state,transit_days,note
NC,1,eastern nc is 2 days
SC,1,
VA,1|2,roughly even split western VA at 1 day and eastern VA at 2 days
GA,1,
TX,3,
CO,5,
CA,4, north ca is 5 days
MT,none,
KS,none,
OK,none,
CT,2,
RI,no_data,transparent in the source image shape never filled
DE,2,
WV,2,
MD,2,
